HomeTeam,AwayTeam,HomePoints,AwayPoints,ActualSpread,Spread,Line,Result
Colorado State,Washington State,3.0,20.0,-17.0,-1.5,Washington State -1.5,Correct
Missouri,Massachusetts,42.0,6.0,36.0,50.0,Missouri -50.0,Correct
Georgia,Alabama,21.0,24.0,-3.0,12.0,Georgia -12.0,Wrong
Boise State,App State,47.0,14.0,33.0,10.5,Boise State -10.5,Correct
Penn State,Oregon,24.0,30.0,-6.0,-2.5,Oregon -2.5,Correct
South Carolina,Kentucky,35.0,13.0,22.0,-6.5,Kentucky -6.5,Wrong
Stephen F. Austin,McNeese,34.0,17.0,17.0,25.0,Stephen F. Austin -25.0,Correct
Harding University,Ouachita Baptist,24.0,7.0,17.0,28.0,Harding University -28.0,Correct
Louisiana,Marshall,54.0,51.0,3.0,-11.0,Marshall -11.0,Wrong
Fort Hays State,Missouri Western,31.0,23.0,8.0,15.0,Fort Hays State -15.0,Correct
Sul Ross State,Texas A&M-Kingsville,3.0,52.0,-49.0,-19.5,Texas A&M-Kingsville -19.5,Correct
Western New Mexico,Central Washington,31.0,91.0,-60.0,-51.5,Central Washington -51.5,Correct
West Texas A&M,Western Oregon,35.0,7.0,28.0,-1.0,Western Oregon -1.0,Wrong
Southern Utah,West Georgia,24.0,27.0,-3.0,-19.0,West Georgia -19.0,Correct
Sacramento State,Cal Poly,24.0,32.0,-8.0,6.5,Sacramento State -6.5,Wrong
UTEP,Louisiana Tech,11.0,30.0,-19.0,-32.5,Louisiana Tech -32.5,Correct
UC Davis,Weber State,34.0,12.0,22.0,17.5,UC Davis -17.5,Correct
Pomona Pitzer,Claremont-Mudd-Scripps College,25.0,17.0,8.0,2.0,Pomona Pitzer -2.0,Correct
Chapman,La Verne,56.0,6.0,50.0,27.5,Chapman -27.5,Correct
Redlands,California Lutheran University,10.0,27.0,-17.0,-6.5,California Lutheran University -6.5,Correct
Montana,Idaho,41.0,30.0,11.0,30.5,Montana -30.5,Correct
Colorado,BYU,21.0,24.0,-3.0,-6.5,BYU -6.5,Correct
