"Season","Week","SeasonType","StartDate","Completed","HomeTeam","HomePoints","AwayTeam","AwayPoints"
"2025","2","regular","2025-09-05T23:30:00.000Z","true","Northwestern","42","Western Illinois","7"
"2025","2","regular","2025-09-06T01:00:00.000Z","true","Boise State","51","Eastern Washington","14"
"2025","2","regular","2025-09-06T04:00:00.000Z","true","Angelo State","41","Emporia State University","20"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Oberlin","6","Calvin University","88"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","West Virginia State","28","Wilson","14"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Salve Regina","34","UMass Dartmouth","13"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Concordia University Chicago","17","Minnesota Morris","16"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Eastern University","46","Anna Maria College","7"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Washington & Jefferson","31","Utica","49"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Northwood (MI)","23","Northern Michigan","18"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Findlay","38","Indianapolis","35"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Johnson C Smith","28","Valdosta State","16"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Framingham State","13","Husson","40"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Delaware Valley","9","Hampden-Sydney","38"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Otterbein","28","Ohio Wesleyan","65"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","MIT","46","Nichols College","13"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","New England College","21","Plymouth State","49"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Endicott College","31","Misericordia","21"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Susquehanna","33","Union (NY)","14"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","FDU-Florham","0","St John Fisher University","21"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Texas","38","San José State","7"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Cortland","14","Grove City College","31"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","University of Rochester (NY)","38","Olivet College","17"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Syracuse","27","UConn","20"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Bentley","13","West Chester","30"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Florida State","77","East Texas A&M","3"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Mercyhurst","48","New Haven","14"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Dayton","38","Thomas More College","0"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","NC State","35","Virginia","31"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Texas Tech","62","Kent State","14"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Iowa State","16","Iowa","13"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","SMU","45","Baylor","48"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Pittsburgh","45","Central Michigan","17"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Indiana","56","Kennesaw State","9"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Penn State","34","Florida International","0"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Duke","19","Illinois","45"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Jacksonville State","34","Liberty","24"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Duquesne","55","Lincoln (PA)","14"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Central Connecticut","34","American International","7"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Hartwick","56","Maine Maritime","7"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Minnesota","66","Northwestern State","0"
"2025","2","regular","2025-09-06T16:00:00.000Z","true","Lehigh","28","Sacred Heart","10"
"2025","2","regular","2025-09-06T16:45:00.000Z","true","Texas A&M","44","Utah State","22"
"2025","2","regular","2025-09-06T17:00:00.000Z","true","Shenandoah","25","Methodist","6"
"2025","2","regular","2025-09-06T17:00:00.000Z","true","Western New England","23","Springfield","22"
"2025","2","regular","2025-09-06T17:00:00.000Z","true","Brevard College","20","Kentucky Christian","41"
"2025","2","regular","2025-09-06T17:00:00.000Z","true","Waynesburg","14","John Carroll University","48"
"2025","2","regular","2025-09-06T17:00:00.000Z","true","Bluefield State","38","Concord University","31"
"2025","2","regular","2025-09-06T17:00:00.000Z","true","Southern Virginia","27","Apprentice School","6"
"2025","2","regular","2025-09-06T17:00:00.000Z","true","Ithaca College","14","Johns Hopkins University","42"
"2025","2","regular","2025-09-06T17:00:00.000Z","true","Emory & Henry College","35","Catawba","7"
"2025","2","regular","2025-09-06T17:00:00.000Z","true","Rowan","17","Case Western Reserve","17"
"2025","2","regular","2025-09-06T17:00:00.000Z","true","Manchester","14","Westminster College (MO)","21"
